year	month	day	araz_Q_Obs				
2003	8	20	0.081				
2003	8	21	0.066				
2003	8	22	0.041				
2003	8	23	0.041				
2003	8	24	0.041				
2003	8	25	0.041				
2003	8	26	0.031				
2003	8	27	0.03				
2003	8	28	0.03				
2003	8	29	0.03				
2003	8	30	0.025				
2003	8	31	0.021				
2003	9	1	0.018				
2003	9	2	0.014				
2003	9	3	0.021				
2003	9	4	0.021				
2003	9	5	0.021				
2003	9	6	0.021				
2003	9	7	0.021				
2003	9	8	0.021				
2003	9	9	0.021				
2003	9	10	0.021				
2003	9	11	0.03				
2003	9	12	0.28				
2003	9	13	0.438				
2003	9	14	0.471				
2003	9	15	0.471				
2003	9	16	0.465				
2003	9	17	0.504				
2003	9	18	0.648				
2003	9	19	0.504				
2003	9	20	0.668				
2003	9	21	0.849				
2003	9	22	0.938				
2003	9	23	1.27				
2003	9	24	1.12				
2003	9	25	1.07				
2003	9	26	1.07				
2003	9	27	1.12				
2003	9	28	1.12				
2003	9	29	1.22				
2003	9	30	1.46				
2003	10	1	1.32				
2003	10	2	1.22				
2003	10	3	1.22				
2003	10	4	1.32				
2003	10	5	12.7				
2003	10	6	9.78				
2003	10	7	3.28				
2003	10	8	2.77				
2003	10	9	2.63				
2003	10	10	2.52				
2003	10	11	2.39				
2003	10	12	2.36				
2003	10	13	2.26				
2003	10	14	2.19				
2003	10	15	2.13				
2003	10	16	2.13				
2003	10	17	2.07				
2003	10	18	2.01				
2003	10	19	1.94				
2003	10	20	1.98				
2003	10	21	1.94				
2003	10	22	1.94				
2003	10	23	1.88				
2003	10	24	1.77				
2003	10	25	1.71				
2003	10	26	1.59				
2003	10	27	1.59				
2003	10	28	1.65				
2003	10	29	1.71				
2003	10	30	1.65				
2003	10	31	1.65				
2003	11	1	1.53				
2003	11	2	1.43				
2003	11	3	1.95				
2003	11	4	4.86				
2003	11	5	3.96				
2003	11	6	3.24				
2003	11	7	2.56				
2003	11	8	2.26				
2003	11	9	2.07				
2003	11	10	2.04				
2003	11	11	2.01				
2003	11	12	2.01				
2003	11	13	1.94				
2003	11	14	2.47				
2003	11	15	14.9				
2003	11	16	4.43				
2003	11	17	3.02				
2003	11	18	2.69				
2003	11	19	2.59				
2003	11	20	2.59				
2003	11	21	2.84				
2003	11	22	2.98				
2003	11	23	8.02				
2003	11	24	4.61				
2003	11	25	4.02				
2003	11	26	3.74				
2003	11	27	3.62				
2003	11	28	3.42				
2003	11	29	3.16				
2003	11	30	2.99				
2003	12	1	3.02				
2003	12	2	3.27				
2003	12	3	3.28				
2003	12	4	4.18				
2003	12	5	4.7				
2003	12	6	3.82				
2003	12	7	3.38				
2003	12	8	2.94				
2003	12	9	2.56				
2003	12	10	2.63				
2003	12	11	10.5				
2003	12	12	6.36				
2003	12	13	4.14				
2003	12	14	3.98				
2003	12	15	4.02				
2003	12	16	4.06				
2003	12	17	7.53				
2003	12	18	6.26				
2003	12	19	5.78				
2003	12	20	5.09				
2003	12	21	4.35				
2003	12	22	3.98				
2003	12	23	3.78				
2003	12	24	3.54				
2003	12	25	3.62				
2003	12	26	3.66				
2003	12	27	3.54				
2003	12	28	3.62				
2003	12	29	3.86				
2003	12	30	3.9				
2003	12	31	3.66				
2004	1	1	3.58				
2004	1	2	3.31				
2004	1	3	3.31				
2004	1	4	3.16				
2004	1	5	3.01				
2004	1	6	2.87				
2004	1	7	3.01				
2004	1	8	3.01				
2004	1	9	3.25				
2004	1	10	3.16				
2004	1	11	3.09				
2004	1	12	2.97				
2004	1	13	2.87				
2004	1	14	2.87				
2004	1	15	2.9				
2004	1	16	2.84				
2004	1	17	2.87				
2004	1	18	2.8				
2004	1	19	3.1				
2004	1	20	3.5				
2004	1	21	3.54				
2004	1	22	3.46				
2004	1	23	3.23				
2004	1	24	3.13				
2004	1	25	3.09				
2004	1	26	3.09				
2004	1	27	3.28				
2004	1	28	23				
2004	1	29	19.1				
2004	1	30	10.3				
2004	1	31	8.78				
2004	2	1	8.78				
2004	2	2	8.67				
2004	2	3	8.78				
2004	2	4	11.1				
2004	2	5	11				
2004	2	6	9.64				
2004	2	7	11.4				
2004	2	8	9.53				
2004	2	9	8.45				
2004	2	10	8.45				
2004	2	11	9.41				
2004	2	12	11				
2004	2	13	9.35				
2004	2	14	8.4				
2004	2	15	8.34				
2004	2	16	8.73				
2004	2	17	7.12				
2004	2	18	5.28				
2004	2	19	4.56				
2004	2	20	4.14				
2004	2	21	3.86				
2004	2	22	3.5				
2004	2	23	3.58				
2004	2	24	4.82				
2004	2	25	5				
2004	2	26	4.52				
2004	2	27	4.52				
2004	2	28	4.14				
2004	2	29	3.86				
2004	3	1	3.74				
2004	3	2	3.82				
2004	3	3	3.82				
2004	3	4	3.62				
2004	3	5	3.7				
2004	3	6	3.82				
2004	3	7	4.14				
2004	3	8	4.44				
2004	3	9	5.79				
2004	3	10	6.76				
2004	3	11	5				
2004	3	12	4.39				
2004	3	13	4.61				
2004	3	14	11.7				
2004	3	15	24.4				
2004	3	16	22				
2004	3	17	14.6				
2004	3	18	14.5				
2004	3	19	14.5				
2004	3	20	14.6				
2004	3	21	15.9				
2004	3	22	19.4				
2004	3	23	28.9				
2004	3	24	30.7				
2004	3	25	29.1				
2004	3	26	29.9				
2004	3	27	20				
2004	3	28	13.6				
2004	3	29	10.4				
2004	3	30	8.12				
2004	3	31	7.64				
2004	4	1	49.4				
2004	4	2	29.1				
2004	4	3	22.1				
2004	4	4	16.4				
2004	4	5	30				
2004	4	6	29.5				
2004	4	7	22.4				
2004	4	8	24				
2004	4	9	17.1				
2004	4	10	12.7				
2004	4	11	10.3				
2004	4	12	9.13				
2004	4	13	8.56				
2004	4	14	8.18				
2004	4	15	7.91				
2004	4	16	7.32				
2004	4	17	8.04				
2004	4	18	73.9				
2004	4	19	36.9				
2004	4	20	35.8				
2004	4	21	23.2				
2004	4	22	13.9				
2004	4	23	11.7				
2004	4	24	10.6				
2004	4	25	10.9				
2004	4	26	11.6				
2004	4	27	11.6				
2004	4	28	14.2				
2004	4	29	13.1				
2004	4	30	9.71				
2004	5	1	8.06				
2004	5	2	7.53				
2004	5	3	6.61				
2004	5	4	5.93				
2004	5	5	5.97				
2004	5	6	55.6				
2004	5	7	42.2				
2004	5	8	14.9				
2004	5	9	11				
2004	5	10	9.06				
2004	5	11	8.02				
2004	5	12	6.71				
2004	5	13	6.11				
2004	5	14	7.07				
2004	5	15	6.26				
2004	5	16	5.88				
2004	5	17	5.32				
2004	5	18	4.91				
2004	5	19	4.44				
2004	5	20	3.7				
2004	5	21	7.2				
2004	5	22	16.1				
2004	5	23	7.29				
2004	5	24	5.01				
2004	5	25	4.56				
2004	5	26	3.94				
2004	5	27	2.9				
2004	5	28	2.59				
2004	5	29	2.16				
2004	5	30	1.76				
2004	5	31	1.53				
2004	6	1	1.38				
2004	6	2	1.17				
2004	6	3	0.934				
2004	6	4	0.719				
2004	6	5	0.51				
2004	6	6	0.392				
2004	6	7	0.345				
2004	6	8	0.273				
2004	6	9	0.15				
2004	6	10	0.15				
2004	6	11	0.11				
2004	6	12	0.11				
2004	6	13	8.41				
2004	6	14	6.47				
2004	6	15	1.54				
2004	6	16	0.727				
2004	6	17	0.36				
2004	6	18	0.301				
2004	6	19	0.273				
2004	6	20	0.246				
2004	6	21	0.273				
2004	6	22	0.247				
2004	6	23	0.196				
2004	6	24	0.161				
2004	6	25	0.15				
2004	6	26	0.129				
2004	6	27	0.129				
2004	6	28	0.129				
2004	6	29	0.129				
2004	6	30	0.608				
2004	7	1	2.86				
2004	7	2	0.54				
2004	7	3	0.045				
2004	7	4	0.075				
2004	7	5	0.11				
2004	7	6	0.15				
2004	7	7	0.15				
2004	7	8	0.15				
2004	7	9	0.15				
2004	7	10	0.15				
2004	7	11	23.2				
2004	7	12	17.3				
2004	7	13	4.13				
2004	7	14	1.68				
2004	7	15	1.01				
2004	7	16	0.198				
2004	7	17	0.06				
2004	7	18	0.032				
2004	7	19	0.032				
2004	7	20	0.032				
2004	7	21	0.032				
2004	7	22	0.075				
2004	7	23	0.045				
2004	7	24	0.075				
2004	7	25	0.091				
2004	7	26	0.091				
2004	7	27	0.068				
2004	7	28	0.045				
2004	7	29	0.034				
2004	7	30	0.022				
2004	7	31	0.022				
2004	8	1	0.027				
2004	8	2	0.022				
2004	8	3	0.022				
2004	8	4	0.022				
2004	8	5	0.022				
2004	8	6	0.022				
2004	8	7	0.022				
2004	8	8	0.045				
2004	8	9	0.045				
2004	8	10	0.045				
2004	8	11	0.045				
2004	8	12	0.032				
2004	8	13	0.032				
2004	8	14	0.032				
2004	8	15	0.032				
2004	8	16	0.032				
2004	8	17	0.032				
2004	8	18	0.032				
2004	8	19	0.032				
2004	8	20	0.022				
2004	8	21	0.013				
2004	8	22	0.013				
2004	8	23	0.013				
2004	8	24	0.013				
2004	8	25	0.013				
2004	8	26	0.013				
2004	8	27	13.2				
2004	8	28	40.2				
2004	8	29	3.46				
2004	8	30	1.12				
2004	8	31	0.601				
2004	9	1	0.347				
2004	9	2	0.209				
2004	9	3	0.101				
2004	9	4	0.06				
2004	9	5	0.045				
2004	9	6	0.045				
2004	9	7	0.045				
2004	9	8	0.045				
2004	9	9	0.045				
2004	9	10	0.045				
2004	9	11	0.045				
2004	9	12	0.045				
2004	9	13	0.045				
2004	9	14	0.045				
2004	9	15	0.032				
2004	9	16	0.7				
2004	9	17	0.825				
2004	9	18	0.719				
2004	9	19	1.92				
2004	9	20	5.44				
2004	9	21	3.16				
2004	9	22	2.43				
2004	9	23	1.8				
2004	9	24	1.4				
2004	9	25	1.25				
2004	9	26	0.962				
2004	9	27	0.772				
2004	9	28	0.891				
2004	9	29	1.1				
2004	9	30	1.12				
2004	10	1	1.04				
2004	10	2	0.868				
2004	10	3	0.992				
2004	10	4	0.726				
2004	10	5	0.726				
2004	10	6	2.78				
2004	10	7	2.28				
2004	10	8	1.97				
2004	10	9	1.97				
2004	10	10	1.93				
2004	10	11	1.9				
2004	10	12	1.82				
2004	10	13	1.77				
2004	10	14	2.88				
2004	10	15	3.29				
2004	10	16	2.5				
2004	10	17	2.24				
2004	10	18	2.04				
2004	10	19	1.97				
2004	10	20	1.9				
2004	10	21	1.71				
2004	10	22	1.64				
2004	10	23	10.3				
2004	10	24	11.9				
2004	10	25	3.38				
2004	10	26	2.69				
2004	10	27	2.28				
2004	10	28	2.13				
2004	10	29	2.1				
2004	10	30	2.17				
2004	10	31	2.17				
2004	11	1	2.1				
2004	11	2	2.1				
2004	11	3	1.97				
2004	11	4	2.1				
2004	11	5	2.1				
2004	11	6	2.04				
2004	11	7	2.1				
2004	11	8	2.1				
2004	11	9	2.1				
2004	11	10	2.1				
2004	11	11	2.1				
2004	11	12	2.04				
2004	11	13	1.9				
2004	11	14	1.71				
2004	11	15	1.8				
2004	11	16	1.83				
2004	11	17	1.67				
2004	11	18	1.43				
2004	11	19	9.08				
2004	11	20	4.01				
2004	11	21	2.71				
2004	11	22	1.58				
2004	11	23	1.2				
2004	11	24	9.2				
2004	11	25	6.28				
2004	11	26	3.91				
2004	11	27	2.42				
2004	11	28	22.4				
2004	11	29	13.2				
2004	11	30	3.98				
2004	12	1	3.81				
2004	12	2	3.81				
2004	12	3	3.55				
2004	12	4	3.16				
2004	12	5	2.92				
2004	12	6	2.77				
2004	12	7	2.54				
2004	12	8	2.61				
2004	12	9	2.62				
2004	12	10	4.24				
2004	12	11	4.76				
2004	12	12	4.17				
2004	12	13	4.17				
2004	12	14	3.99				
2004	12	15	3.42				
2004	12	16	3.08				
2004	12	17	3.25				
2004	12	18	3.99				
2004	12	19	4.64				
2004	12	20	4.03				
2004	12	21	4.22				
2004	12	22	4.31				
2004	12	23	4.22				
2004	12	24	4.22				
2004	12	25	4.22				
2004	12	26	8.86				
2004	12	27	49.2				
2004	12	28	23.5				
2004	12	29	11.3				
2004	12	30	9.77				
2004	12	31	10.1				
2005	1	1	12.8				
2005	1	2	11.1				
2005	1	3	12.1				
2005	1	4	15.6				
2005	1	5	16.2				
2005	1	6	15.8				
2005	1	7	63.9				
2005	1	8	24.1				
2005	1	9	13.4				
2005	1	10	10.5				
2005	1	11	16.2				
2005	1	12	38.1				
2005	1	13	14.2				
2005	1	14	13.1				
2005	1	15	12.6				
2005	1	16	12.4				
2005	1	17	12.1				
2005	1	18	11.3				
2005	1	19	10.9				
2005	1	20	13.1				
2005	1	21	27.6				
2005	1	22	21.3				
2005	1	23	13				
2005	1	24	12.4				
2005	1	25	27.9				
2005	1	26	61.7				
2005	1	27	18.5				
2005	1	28	14.9				
2005	1	29	13.9				
2005	1	30	13.8				
2005	1	31	14.1				
2005	2	1	16				
2005	2	2	19.5				
2005	2	3	18.5				
2005	2	4	15.4				
2005	2	5	13.8				
2005	2	6	12.8				
2005	2	7	12.8				
2005	2	8	13.4				
2005	2	9	13.1				
2005	2	10	12.7				
2005	2	11	11.9				
2005	2	12	11.1				
2005	2	13	10.9				
2005	2	14	10.5				
2005	2	15	10.4				
2005	2	16	10.4				
2005	2	17	10.4				
2005	2	18	9.9				
2005	2	19	9.84				
2005	2	20	10.1				
2005	2	21	24				
2005	2	22	59.9				
2005	2	23	72.1				
2005	2	24	27.9				
2005	2	25	23.3				
2005	2	26	21.9				
2005	2	27	23.3				
2005	2	28	24.8				
2005	3	1	36.3				
2005	3	2	36				
2005	3	3	28.9				
2005	3	4	25.5				
2005	3	5	35.4				
2005	3	6	45.3				
2005	3	7	29.1				
2005	3	8	22.4				
2005	3	9	18.3				
2005	3	10	23.9				
2005	3	11	42.5				
2005	3	12	35				
2005	3	13	29.1				
2005	3	14	19.8				
2005	3	15	19.8				
2005	3	16	19.7				
2005	3	17	17.9				
2005	3	18	17.9				
2005	3	19	17				
2005	3	20	17				
2005	3	21	16.6				
2005	3	22	15.2				
2005	3	23	14.1				
2005	3	24	13.9				
2005	3	25	42.2				
2005	3	26	30.5				
2005	3	27	24.6				
2005	3	28	24.3				
2005	3	29	25.8				
2005	3	30	29.9				
2005	3	31	26.6				
2005	4	1	22.2				
2005	4	2	20.9				
2005	4	3	19.5				
2005	4	4	16.9				
2005	4	5	65.6				
2005	4	6	30.4				
2005	4	7	25.3				
2005	4	8	24.9				
2005	4	9	23.9				
2005	4	10	21.5				
2005	4	11	19.4				
2005	4	12	18.8				
2005	4	13	18				
2005	4	14	15.7				
2005	4	15	15.1				
2005	4	16	14.9				
2005	4	17	14.8				
2005	4	18	13.9				
2005	4	19	13.8				
2005	4	20	13.5				
2005	4	21	11.8				
2005	4	22	9.13				
2005	4	23	8.26				
2005	4	24	7.24				
2005	4	25	6.34				
2005	4	26	6.02				
2005	4	27	6.46				
2005	4	28	6.45				
2005	4	29	6.02				
2005	4	30	5.64				
2005	5	1	4.79				
2005	5	2	4.64				
2005	5	3	4.5				
2005	5	4	4.5				
2005	5	5	4.79				
2005	5	6	8.45				
2005	5	7	29.5				
2005	5	8	14.9				
2005	5	9	9.71				
2005	5	10	6.9				
2005	5	11	5.08				
2005	5	12	4.59				
2005	5	13	4.13				
2005	5	14	3.67				
2005	5	15	3.42				
2005	5	16	4.11				
2005	5	17	4.8				
2005	5	18	4.59				
2005	5	19	6.07				
2005	5	20	4.74				
2005	5	21	11.5				
2005	5	22	5.59				
2005	5	23	3.67				
2005	5	24	3.09				
2005	5	25	2.39				
2005	5	26	1.62				
2005	5	27	1.34				
2005	5	28	1.07				
2005	5	29	0.727				
2005	5	30	0.639				
2005	5	31	0.639				
2005	6	1	0.557				
2005	6	2	0.517				
2005	6	3	0.479				
2005	6	4	0.479				
2005	6	5	0.307				
2005	6	6	0.307				
2005	6	7	0.276				
2005	6	8	0.276				
2005	6	9	3.31				
2005	6	10	4.83				
2005	6	11	1.91				
2005	6	12	0.426				
2005	6	13	0.235				
2005	6	14	0.073				
2005	6	15	0.065				
2005	6	16	0.082				
2005	6	17	0.05				
2005	6	18	0.05				
2005	6	19	0.05				
2005	6	20	0.065				
2005	6	21	0.036				
2005	6	22	0.036				
2005	6	23	0.036				
2005	6	24	0.043				
2005	6	25	0.036				
2005	6	26	0.036				
2005	6	27	0.036				
2005	6	28	0.05				
2005	6	29	0.05				
2005	6	30	0.05				
2005	7	1	0.043				
2005	7	2	0.05				
2005	7	3	0.05				
2005	7	4	0.05				
2005	7	5	0.05				
2005	7	6	0.05				
2005	7	7	0.065				
2005	7	8	0.065				
2005	7	9	0.065				
2005	7	10	0.036				
2005	7	11	0.036				
2005	7	12	0.043				
2005	7	13	0.036				
2005	7	14	0.036				
2005	7	15	0.036				
2005	7	16	0.036				
2005	7	17	0.037				
2005	7	18	0.024				
2005	7	19	0.024				
2005	7	20	0.024				
2005	7	21	0.024				
2005	7	22	0.036				
2005	7	23	0.03				
2005	7	24	0.024				
2005	7	25	0.024				
2005	7	26	0.024				
2005	7	27	0.024				
2005	7	28	0.036				
2005	7	29	0.036				
2005	7	30	0.036				
2005	7	31	7.52				
2005	8	1	3.76				
2005	8	2	0.323				
2005	8	3	0.196				
2005	8	4	0.101				
2005	8	5	0.065				
2005	8	6	0.065				
2005	8	7	0.065				
2005	8	8	0.036				
2005	8	9	0.036				
2005	8	10	12.9				
2005	8	11	6.29				
2005	8	12	0.506				
2005	8	13	0.437				
2005	8	14	0.342				
2005	8	15	0.122				
2005	8	16	0.007				
2005	8	17	0.015				
2005	8	18	0.03				
2005	8	19	0.014				
2005	8	20	0.019				
2005	8	21	0.024				
2005	8	22	0.024				
2005	8	23	0.036				
2005	8	24	0.036				
2005	8	25	0.024				
2005	8	26	0.036				
2005	8	27	0.036				
2005	8	28	0.036				
2005	8	29	0.036				
2005	8	30	0.264				
2005	8	31	0.307				
2005	9	1	0.307				
2005	9	2	0.339				
2005	9	3	0.307				
2005	9	4	0.277				
2005	9	5	0.248				
2005	9	6	0.219				
2005	9	7	0.296				
2005	9	8	0.891				
2005	9	9	1.97				
2005	9	10	1.46				
2005	9	11	1.25				
2005	9	12	1.23				
2005	9	13	1.25				
2005	9	14	1.64				
2005	9	15	1.34				
2005	9	16	1.23				
2005	9	17	1.23				
2005	9	18	1.2				
2005	9	19	1.12				
2005	9	20	1.17				
2005	9	21	1.55				
2005	9	22	1.46				
2005	9	23	1.29				
2005	9	24	1.24				
2005	9	25	1.24				
2005	9	26	1.16				
2005	9	27	1.14				
2005	9	28	3.09				
2005	9	29	2.57				
2005	9	30	2.19				
2005	10	1	2.6				
2005	10	2	2.04				
2005	10	3	2.25				
2005	10	4	1.89				
2005	10	5	1.61				
2005	10	6	1.61				
2005	10	7	1.55				
2005	10	8	1.39				
2005	10	9	2.41				
2005	10	10	2.57				
2005	10	11	2.07				
2005	10	12	2.07				
2005	10	13	2.07				
2005	10	14	2.13				
2005	10	15	2.32				
2005	10	16	2.19				
2005	10	17	2.01				
2005	10	18	1.83				
2005	10	19	1.83				
2005	10	20	1.72				
2005	10	21	1.72				
2005	10	22	1.78				
2005	10	23	1.78				
2005	10	24	1.89				
2005	10	25	2.01				
2005	10	26	1.75				
2005	10	27	1.69				
2005	10	28	1.66				
2005	10	29	1.52				
2005	10	30	1.5				
2005	10	31	1.5				
2005	11	1	1.5				
2005	11	2	1.5				
2005	11	3	1.55				
2005	11	4	1.52				
2005	11	5	1.55				
2005	11	6	2.26				
2005	11	7	4.52				
2005	11	8	3.45				
2005	11	9	8.33				
2005	11	10	16.7				
2005	11	11	10.1				
2005	11	12	6.97				
2005	11	13	6.01				
2005	11	14	4.05				
2005	11	15	3.63				
2005	11	16	3.41				
2005	11	17	3.35				
2005	11	18	4.22				
2005	11	19	4.43				
2005	11	20	3.89				
2005	11	21	3.63				
2005	11	22	3.13				
2005	11	23	2.8				
2005	11	24	8.88				
2005	11	25	7.19				
2005	11	26	4.93				
2005	11	27	3.67				
2005	11	28	3.24				
2005	11	29	3.13				
2005	11	30	2.93				
2005	12	1	14.9				
2005	12	2	21.6				
2005	12	3	8.82				
2005	12	4	5.15				
2005	12	5	4.27				
2005	12	6	3.89				
2005	12	7	3.74				
2005	12	8	3.38				
2005	12	9	3.2				
2005	12	10	3.12				
2005	12	11	3.17				
2005	12	12	3.2				
2005	12	13	3.1				
2005	12	14	3.17				
2005	12	15	3.1				
2005	12	16	2.76				
2005	12	17	2.63				
2005	12	18	2.73				
2005	12	19	2.97				
2005	12	20	2.9				
2005	12	21	2.9				
2005	12	22	2.96				
2005	12	23	3.03				
2005	12	24	3.03				
2005	12	25	3.1				
2005	12	26	4.17				
2005	12	27	11.8				
2005	12	28	9.56				
2005	12	29	6.58				
2005	12	30	5.4				
2005	12	31	5.23				
2006	1	1	5.15				
2006	1	2	4.78				
2006	1	3	4.66				
2006	1	4	4.49				
2006	1	5	4.43				
2006	1	6	4.43				
2006	1	7	4.59				
2006	1	8	4.74				
2006	1	9	5.7				
2006	1	10	6.3				
2006	1	11	5.36				
2006	1	12	5.11				
2006	1	13	4.91				
2006	1	14	4.78				
2006	1	15	4.78				
2006	1	16	5.15				
2006	1	17	4.91				
2006	1	18	4.55				
2006	1	19	4.35				
2006	1	20	4.27				
2006	1	21	4.01				
2006	1	22	6.39				
2006	1	23	5.82				
2006	1	24	5.78				
2006	1	25	5.53				
2006	1	26	5.03				
2006	1	27	6.8				
2006	1	28	8.01				
2006	1	29	6.26				
2006	1	30	5.61				
2006	1	31	5.2				
2006	2	1	4.95				
2006	2	2	4.82				
2006	2	3	4.86				
2006	2	4	20.6				
2006	2	5	23.1				
2006	2	6	13.9				
2006	2	7	10.3				
2006	2	8	10.1				
2006	2	9	13.8				
2006	2	10	15.1				
2006	2	11	7.95				
2006	2	12	6.52				
2006	2	13	5.82				
2006	2	14	5.36				
2006	2	15	5.03				
2006	2	16	5.66				
2006	2	17	8.44				
2006	2	18	15.5				
2006	2	19	9.68				
2006	2	20	9.9				
2006	2	21	10				
2006	2	22	9.74				
2006	2	23	8.3				
2006	2	24	7.49				
2006	2	25	6.7				
2006	2	26	7.21				
2006	2	27	7.76				
2006	2	28	7.82				
2006	3	1	6.61				
2006	3	2	5.95				
2006	3	3	5.61				
2006	3	4	5.15				
2006	3	5	4.99				
2006	3	6	5.15				
2006	3	7	4.55				
2006	3	8	4.16				
2006	3	9	3.89				
2006	3	10	3.38				
2006	3	11	3.53				
2006	3	12	5.68				
2006	3	13	6.22				
2006	3	14	6.61				
2006	3	15	5.82				
2006	3	16	5.15				
2006	3	17	4.91				
2006	3	18	4.59				
2006	3	19	4.55				
2006	3	20	4.2				
2006	3	21	8.93				
2006	3	22	12.1				
2006	3	23	6.84				
2006	3	24	5.28				
2006	3	25	4.2				
2006	3	26	4.16				
2006	3	27	3.86				
2006	3	28	3.93				
2006	3	29	3.97				
2006	3	30	4.76				
2006	3	31	5.7				
2006	4	1	4.63				
2006	4	2	4.2				
2006	4	3	3.78				
2006	4	4	3.13				
2006	4	5	3.1				
2006	4	6	2.83				
2006	4	7	2.7				
2006	4	8	37.4				
2006	4	9	42.9				
2006	4	10	11.9				
2006	4	11	10.1				
2006	4	12	7.33				
2006	4	13	5.61				
2006	4	14	4.51				
2006	4	15	4.12				
2006	4	16	3.53				
2006	4	17	3.13				
2006	4	18	3.04				
2006	4	19	3.91				
2006	4	20	12.5				
2006	4	21	5.41				
2006	4	22	3.53				
2006	4	23	3				
2006	4	24	2.96				
2006	4	25	2.51				
2006	4	26	2.41				
2006	4	27	6.32				
2006	4	28	8.17				
2006	4	29	4.14				
2006	4	30	2.93				
2006	5	1	2.44				
2006	5	2	2.41				
2006	5	3	2.35				
2006	5	4	2.38				
2006	5	5	2.31				
2006	5	6	2.64				
2006	5	7	2.87				
2006	5	8	2.16				
2006	5	9	1.77				
2006	5	10	1.61				
2006	5	11	1.52				
2006	5	12	1.72				
2006	5	13	1.55				
2006	5	14	1.5				
2006	5	15	1.55				
2006	5	16	3.55				
2006	5	17	6.17				
2006	5	18	5.31				
2006	5	19	2.47				
2006	5	20	1.55				
2006	5	21	1.5				
2006	5	22	6.62				
2006	5	23	6.74				
2006	5	24	3.04				
2006	5	25	9.01				
2006	5	26	4.86				
2006	5	27	3.11				
2006	5	28	1.22				
2006	5	29	0.776				
2006	5	30	0.744				
2006	5	31	0.733				
2006	6	1	0.692				
2006	6	2	0.632				
2006	6	3	0.652				
2006	6	4	0.651				
2006	6	5	0.612				
2006	6	6	0.612				
2006	6	7	0.651				
2006	6	8	0.672				
2006	6	9	0.672				
2006	6	10	0.651				
2006	6	11	0.651				
2006	6	12	0.43				
2006	6	13	0.106				
2006	6	14	0.095				
2006	6	15	0.071				
2006	6	16	0.071				
2006	6	17	0.071				
2006	6	18	0.08				
2006	6	19	0.075				
2006	6	20	0.071				
2006	6	21	0.075				
2006	6	22	0.071				
2006	6	23	0.071				
2006	6	24	0.053				
2006	6	25	0.071				
2006	6	26	0.071				
2006	6	27	0.053				
2006	6	28	0.053				
2006	6	29	0.053				
2006	6	30	0.071				
2006	7	1	0.053				
2006	7	2	0.09				
2006	7	3	0.09				
2006	7	4	0.071				
2006	7	5	0.112				
2006	7	6	0.071				
2006	7	7	0.071				
2006	7	8	0.091				
2006	7	9	0.09				
2006	7	10	0.071				
